Dataset,ResultType,ResultTag,Project,Total,TP,FN,FP,TN,P,R,F1,Ac,TPR,FPR
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,tootallnate-java-websocket,3259,2143,0,657,459,76.53571428571428,100.0,86.7084766336233,79.84044185332925,100.0,58.87096774193549
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,elasticjob-elastic-job-lite,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,square-okhttp,60435,26366,120,2790,31159,90.4307861160653,99.54693045382467,94.77013766579205,95.1849094068007,99.54693045382467,8.21820966744234
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,apache-commons-exec,92,33,0,53,6,38.372093023255815,100.0,55.46218487394958,42.391304347826086,100.0,89.83050847457628
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,qos-ch-logback,3052,438,0,1289,1325,25.361899247249564,100.0,40.46189376443417,57.7653997378768,100.0,49.31140015302219
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,kevinsawicki.http-request,3888,3498,3,135,252,96.28406275805119,99.91431019708654,98.06560134566863,96.4506172839506,99.91431019708654,34.883720930232556
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,jknack-handlebars.java,558,411,0,16,131,96.25292740046838,100.0,98.090692124105,97.1326164874552,100.0,10.884353741496598
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,wro4j-wro4j,11373,10833,0,71,469,99.34886280264124,100.0,99.67336799006303,99.37571441132506,100.0,13.148148148148147
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,apache-ambari,15108,4063,0,553,10492,88.01993067590988,100.0,93.62829819103582,96.33968758273762,100.0,5.006790402897239
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,undertow-io-undertow,2398,91,1,1813,493,4.779411764705882,98.91304347826086,9.118236472945892,24.353628023352794,98.91304347826086,78.62098872506505
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,apache-httpcore,8375,353,1,7168,853,4.69352479723441,99.71751412429379,8.965079365079365,14.399999999999999,99.71751412429379,89.36541578356814
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,spring-projects-spring-boot,2164,11,3,1094,1056,0.9954751131221719,78.57142857142857,1.966041108132261,49.30683918669131,78.57142857142857,50.883720930232556
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,hector-client-hector,10132,6529,0,422,3181,93.92893108905194,100.0,96.86943620178042,95.83497828661666,100.0,11.712461837357758
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,orbit-orbit,3755,2936,7,68,744,97.7363515312916,99.76214746856948,98.73885992937616,98.00266311584554,99.76214746856948,8.374384236453201
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,wildfly-wildfly,3895,48,0,116,3731,29.268292682926827,100.0,45.283018867924525,97.02182284980745,100.0,3.0153366259422927
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,doanduyhai-Achilles,275,120,1,3,151,97.5609756097561,99.17355371900827,98.36065573770492,98.54545454545455,99.17355371900827,1.948051948051948
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,Alluxio-alluxio,49653,16833,25,26526,6269,38.82238981526327,99.85170245580733,55.90780012288889,46.52689666284011,99.85170245580733,80.88428114041774
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,zxing-zxing,398,322,0,0,76,100.0,100.0,100.0,100.0,100.0,0.0
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,joel-costigliola-assertj-core,992,974,0,0,18,100.0,100.0,100.0,100.0,100.0,0.0
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,activiti-activiti,46300,1360,3,7816,37121,14.821272885789014,99.77989728539985,25.808900275168423,83.11231101511879,99.77989728539985,17.393239424082605
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,ninjaframework-ninja,596,476,0,8,112,98.34710743801654,100.0,99.16666666666667,98.65771812080537,100.0,6.666666666666667
FlakeFlagger,mainPredictionNB,Balance+Duplicate+FailuresWithMutants,apache-hbase,3104,2519,0,262,323,90.5789284430061,100.0,95.0566037735849,91.55927835051546,100.0,44.78632478632479
