Project,Test,TestID,FailureFreq,FailureException,TestNameInStacktrace,TestClassNameInStacktrace,TotalStacktraceLines,TotalMutants,set(TotalMutants),TotalMatchException,TotalMatchStacktrace,TotalMatch,MostExceptionInMutants,MostExceptionInMutantsFreq
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario9,2,13,Exception,1,1,10,53,26,0,0,0,AssertionError,23
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario9,1,63,AssertionError,0,0,3,53,26,23,23,23,AssertionError,23
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario4,2,5,Exception,1,1,10,53,29,0,0,0,AssertionError,22
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario4,1,35,AssertionError,0,0,3,53,29,22,22,22,AssertionError,22
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario9,1,17,Exception,1,1,10,18,15,0,0,0,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario9,2,108,AssertionError,0,0,3,18,15,3,3,3,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario5,1,51,AssertionError,0,0,3,18,15,2,2,2,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario5,3,30,Exception,1,1,10,18,15,0,0,0,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.protocols.ProtoclHandshakeRejectionTest.testHandshakeRejectionTestCase10,1,10,AssertionError,1,1,3,98,10,88,88,88,AssertionError,88
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario3,3,106,Exception,1,1,10,18,15,0,0,0,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario3,1,206,AssertionError,0,0,3,18,15,2,2,2,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario7,1,42,AssertionError,0,0,3,18,15,2,2,2,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario7,3,23,Exception,1,1,10,18,15,0,0,0,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue677Test.testIssue,1,2,AssertionError,1,1,3,169,31,133,1,1,AssertionError,133
tootallnate-java-websocket,org.java_websocket.issues.Issue677Test.testIssue,2,1,AssertionError,1,1,3,169,31,133,6,6,AssertionError,133
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario6,1,68,AssertionError,0,0,3,37,15,21,21,21,AssertionError,21
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario6,2,19,Exception,1,1,10,37,15,0,0,0,AssertionError,21
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario1,1,41,AssertionError,0,0,3,37,15,21,21,21,AssertionError,21
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario1,2,10,Exception,1,1,10,37,15,0,0,0,AssertionError,21
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario0,2,50,Exception,1,1,10,21,15,0,0,0,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario0,3,56,Exception,1,1,9,21,15,0,0,0,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario0,1,215,AssertionError,0,0,3,21,15,5,5,5,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario6,3,19,Exception,1,1,10,18,15,0,0,0,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario6,1,40,AssertionError,0,0,3,18,15,2,2,2,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario7,1,91,AssertionError,0,0,3,54,27,24,24,24,AssertionError,24
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario7,4,32,Exception,1,1,10,54,27,0,0,0,AssertionError,24
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario8,1,76,AssertionError,0,0,3,38,15,22,22,22,AssertionError,22
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario8,3,14,Exception,1,1,10,38,15,0,0,0,AssertionError,22
tootallnate-java-websocket,org.java_websocket.issues.Issue580Test.runNoCloseBlockingTestScenario7,1,1,AssertionError,0,0,3,196,4,189,189,189,AssertionError,189
