Project,Test,True,Flaky,set(True),set(Flaky),TP,FN,FP,TN,t(tp),t(fn),t(fp),t(tn),P,R,SP
Alluxio-alluxio,114,32795,16858,6232,310,9173,7685,1933,30862,114,109,109,114,82%,54%,94%
square-okhttp,99,33949,26486,18546,120,16517,9969,107,33842,58,52,15,99,99%,62%,99%
apache-ambari,51,11045,4063,4562,54,4003,60,5,11040,50,2,2,51,99%,98%,99%
hector-client-hector,33,3603,6529,1769,33,1382,5147,12,3591,32,1,1,33,99%,21%,99%
activiti-activiti,30,44937,1363,15863,31,932,431,2272,42665,1,29,26,30,29%,68%,94%
tootallnate-java-websocket,23,1116,2143,418,45,596,1547,531,585,20,23,23,23,52%,27%,52%
apache-httpcore,22,8021,354,667,22,0,354,2096,5925,0,22,21,22,0%,0%,73%
apache-hbase,20,585,2519,185,26,1209,1310,162,423,17,5,3,20,88%,47%,72%
qos-ch-logback,20,2614,438,895,21,56,382,368,2246,3,17,14,20,13%,12%,85%
kevinsawicki.http-request,18,387,3501,229,18,981,2520,40,347,4,14,11,18,96%,28%,89%
wildfly-wildfly,18,4364,50,1497,18,38,12,0,4364,6,12,0,18,100%,76%,100%
wro4j-wro4j,14,540,10833,90,21,800,10033,29,511,9,11,8,14,96%,7%,94%
spring-projects-spring-boot,12,2150,14,244,13,2,12,0,2150,1,12,0,12,100%,14%,100%
undertow-io-undertow,7,2306,92,236,12,8,84,943,1363,2,6,6,7,0%,8%,59%
orbit-orbit,7,812,2943,302,7,87,2856,57,755,2,5,5,7,60%,2%,92%
elasticjob-elastic-job-lite,3,111,7,68,4,4,3,0,111,1,3,0,3,100%,57%,100%
doanduyhai-Achilles,2,154,121,86,3,120,1,6,148,1,1,1,2,95%,99%,96%
jknack-handlebars.java,1,147,411,61,1,0,411,16,131,0,1,1,1,0%,0%,89%
zxing-zxing,1,76,322,37,1,322,0,0,76,1,0,0,1,100%,100%,100%
joel-costigliola-assertj-core,1,18,974,10,1,974,0,0,18,1,0,0,1,100%,100%,100%
apache-commons-exec,1,59,33,13,1,0,33,2,57,0,1,1,1,0%,0%,96%
ninjaframework-ninja,1,120,476,4,1,0,476,8,112,0,1,1,1,0%,0%,93%
,498,149909,80530,52014,763,37204,43326,8587,141322,323,327,248,498,,,
